publisher,avg_net_score,game_count,total_net_score
Konnichiwa Games,445.5,10,4455.0
ETime Studio,445.1666666666667,6,2671.0
HappyGames,444.0,5,2220.0
方块游戏(CubeGame),441.77777777777777,27,11928.0
Gotcha Gotcha Games,439.7142857142857,35,15390.0
Grindstone,438.2,5,2191.0
Arcen Games,438.125,8,3505.0
FIVE-BN GAMES,431.9259259259259,27,11662.0
Gravity Interactive,429.42857142857144,7,3006.0
Snowbird Games,429.0,5,2145.0
Black Forest Games,427.2,5,2136.0
aNCHOR Inc.,427.0833333333333,12,5125.0
BlueLine Games,426.8,5,2134.0
Yunus Ayyildiz,426.0,5,2130.0
3D Realms,425.6666666666667,21,8939.0
TB Games,422.8333333333333,6,2537.0
TheGamesFortress,422.0,11,4642.0
Bitten Toast Games Inc.,421.6666666666667,6,2530.0
PQube,420.40625,64,26906.0
致意,420.14285714285717,7,2941.0
Scumhead,419.0,6,2514.0
RewindApp,411.6304347826087,46,18935.0
Firesquid,410.8,5,2054.0
Ishtar Games,408.2,5,2041.0
HandyGames,407.8474576271187,59,24063.0
Torture Star Video,406.85714285714283,7,2848.0
HeartBeat Plus,404.1666666666667,6,2425.0
Untold Tales,403.1904761904762,42,16934.0
Resolution Games,402.0,6,2412.0
Rain Games,401.4,5,2007.0
SlimeSmile,397.2,5,1986.0
GrabTheGames,397.14473684210526,76,30183.0
Klabater,396.125,8,3169.0
Unbound Creations,394.1666666666667,6,2365.0
Steppe Hare Studio,394.14285714285717,7,2759.0
Nightdive Studios,392.3829787234043,94,36884.0
Hitcents,391.5833333333333,12,4699.0
SeedWall,391.0,11,4301.0
PUNKCAKE Delicieux,389.07142857142856,14,5447.0
Strange Scaffold,384.875,8,3079.0
yokaze,384.5,6,2307.0
Kurki.games,382.0,10,3820.0
Sigyaad Team,382.0,15,5730.0
eGames.com,380.0,7,2660.0
MDickie,376.6,10,3766.0
Yin Games,375.0,5,1875.0
505 Pulse,374.875,8,2999.0
Valkyrie Initiative,373.375,16,5974.0
Forever Entertainment S. A.,372.35714285714283,56,20852.0
XDEVS LTD,369.4,5,1847.0
Blazing Planet Studio,367.7142857142857,7,2574.0
DRAGAMI GAMES,365.2,5,1826.0
Ravenscourt,362.94444444444446,18,6533.0
HeroCraft PC,360.6666666666667,12,4328.0
Anatoliy Loginovskikh,359.88,25,8997.0
Northway Games,359.6,5,1798.0
Mana Games,353.0,5,1765.0
5minlab Corp.,351.0,5,1755.0
Games Incubator,349.27777777777777,18,6287.0
Coldwild Games,346.6363636363636,11,3813.0
Clouded Leopard Entertainment,346.3,10,3463.0
Fractal Projects,345.42857142857144,7,2418.0
Manic Hyena,338.4,5,1692.0
Tribute Games Inc.,337.57142857142856,7,2363.0
HIKE Inc.,336.8,5,1684.0
Pyramid Games S.A.,336.0,5,1680.0
OKJOY,335.25,16,5364.0
Artless Games,334.3333333333333,6,2006.0
Lingtan Studio,332.4,5,1662.0
Smilegate,330.1666666666667,6,1981.0
Puppygames,328.625,8,2629.0
Rabotiagi games,328.3333333333333,9,2955.0
Eroge Japan,327.8666666666667,15,4918.0
Shiravune,327.47058823529414,68,22268.0
072 Project,326.2857142857143,7,2284.0
eTIRUe,326.25,8,2610.0
Sanuk Inc.,325.2,5,1626.0
Artifex Mundi,324.26666666666665,75,24320.0
Rad Codex,324.2,5,1621.0
Mature Games,322.0,8,2576.0
Pixel Puzzles,320.9375,16,5135.0
isTom Games Kft.,320.5,6,1923.0
raptor lab,320.3333333333333,6,1922.0
pencil,316.0,6,1896.0
Astrolabe Games,315.64285714285717,14,4419.0
paulstephendavis,313.14285714285717,7,2192.0
Alcedo Games,310.25,8,2482.0
Gustav,308.6,5,1543.0
Pujia8 Studio,308.3157894736842,19,5858.0
Double Eleven,307.8,5,1539.0
VD Games,307.22222222222223,9,2765.0
Michaela Laws,306.42857142857144,7,2145.0
none,306.0,6,1836.0
Bonus Stage Publishing,303.7142857142857,14,4252.0
Clickteam,299.8333333333333,12,3598.0
Size Five Games,299.4,5,1497.0
Intragames,299.0,5,1495.0
Ripstone,295.8,15,4437.0
Breda University of Applied Sciences,294.5,16,4712.0
TERNOX,293.0,6,1758.0
Crew Lab,291.0,16,4656.0
GOCORE,290.1666666666667,6,1741.0
Aurora Punks,286.8,5,1434.0
Lovely Games,285.1621621621622,37,10551.0
Walter Machado,283.5882352941176,17,4821.0
Mehsoft,283.0,6,1698.0
Forthright Entertainment,280.57142857142856,7,1964.0
Frontwing USA,279.8484848484849,33,9235.0
MythicOwl,279.8333333333333,6,1679.0
InvertMouse,279.8,10,2798.0
Inc,278.6,30,8358.0
Phoenix Online Publishing,277.6875,16,4443.0
FreeMind S.A.,274.0,12,3288.0
Moonbit,274.0,8,2192.0
Jetdogs Studios,273.8,40,10952.0
Majesco Entertainment,273.44444444444446,9,2461.0
Paul Schneider,272.7142857142857,7,1909.0
Ducat,272.6,5,1363.0
GameMill Entertainment,272.1875,16,4355.0
Noodlecake,268.85714285714283,7,1882.0
Hamsters Gaming,268.0,5,1340.0
Bliss Brain,262.85714285714283,7,1840.0
Afterthought Studios,258.3333333333333,6,1550.0
Perp Games,257.6666666666667,6,1546.0
Rogue Games,256.93333333333334,15,3854.0
V Publishing,255.85714285714286,7,1791.0
Vagabond Dog,254.0,6,1524.0
Hawthorn Games,253.56666666666666,30,7607.0
bhungry,252.0,5,1260.0
吃了就睡工作室,250.16666666666666,6,1501.0
Very Very LITTLE Studio,249.71428571428572,7,1748.0
Game for people,246.46153846153845,13,3204.0
Back To Basics Gaming,244.16129032258064,31,7569.0
七彩绘色游戏,244.0,6,1464.0
Kavkaz Sila Games,242.6153846153846,13,3154.0
Tranquility games,241.78571428571428,14,3385.0
TurnVex,240.22222222222223,9,2162.0
Enlight Software Limited,238.125,8,1905.0
Admia,236.6,5,1183.0
Terapoly,236.6,5,1183.0
SCT,236.0,5,1180.0
Akella,235.5,6,1413.0
Digital Tribe,231.22222222222223,27,6243.0
Leonardo Interactive,230.8,5,1154.0
Anshar Publishing,230.66666666666666,9,2076.0
Studio Bean,230.4,5,1152.0
Secret Labo,229.83333333333334,6,1379.0
Rising Star Games,227.6,15,3414.0
TAITO CORP.,227.125,8,1817.0
Santa Ragione,226.0,5,1130.0
冷笑黑妖,225.88235294117646,17,3840.0
Raptor Claw Games,219.2,5,1096.0
Millendream,219.2,5,1096.0
ARTE France,218.55555555555554,9,1967.0
Every Single Soldier,218.2,5,1091.0
S.C. 16 BIT NIGHTS S.R.L.,218.0,5,1090.0
DigitalDream,217.375,8,1739.0
Dymchick1,217.0,6,1302.0
Crystal Shard,216.6,5,1083.0
Beijing Happy Entertainment Technology,215.14285714285714,7,1506.0
Stately Snail,211.7,10,2117.0
Ltd,210.7159090909091,88,18543.0
Retroism,210.625,8,1685.0
Humongous Entertainment,209.59375,32,6707.0
琉璃花糖制作组,208.2,5,1041.0
Green Man Gaming Publishing,206.6875,16,3307.0
Temple Gates Games,206.33333333333334,6,1238.0
Abylight Studios,204.71428571428572,7,1433.0
Soccer Manager Ltd,203.33333333333334,6,1220.0
Interplay Inc.,201.25,8,1610.0
Mastiff,199.85714285714286,7,1399.0
Revmatek,199.66666666666666,9,1797.0
Gamesforfarm,199.28571428571428,7,1395.0
Feardemic,196.85714285714286,7,1378.0
LoveStoryProject,195.375,16,3126.0
qureate,194.91666666666666,12,2339.0
SMU Guildhall,193.46666666666667,15,2902.0
Sigma Team Inc.,193.42857142857142,7,1354.0
Spiderweb Software,192.94736842105263,19,3666.0
The Iterative Collective,190.83333333333334,6,1145.0
Nukearts Studio,189.6,10,1896.0
Tilting Point,189.0,5,945.0
ESDigital Games,188.4794520547945,73,13759.0
Zima software,187.33333333333334,6,1124.0
Funbox Media Ltd,187.175,40,7487.0
Mihai Morosanu,187.125,8,1497.0
Guilty Pleasure Games,187.0,6,1122.0
Crunching Koalas,186.1,10,1861.0
Henteko Doujin,185.96969696969697,33,6137.0
Digerati,184.52,25,4613.0
Quantized Bit,180.2,5,901.0
Starni Games,179.16666666666666,6,1075.0
凝冰剑斩,178.7,10,1787.0
PixelGreeds,178.4,5,892.0
Mastertronic,178.0,5,890.0
电钮组,177.16666666666666,6,1063.0
7DOTS,175.875,8,1407.0
Stas Shostak,175.6,5,878.0
MIROWIN,175.28571428571428,7,1227.0
Tender Claws,173.4,5,867.0
mc2games,173.125,8,1385.0
HeadArrow,172.8,5,864.0
WindField Games,172.1,20,3442.0
Twilight Sonata Studio,171.0,6,1026.0
holo Indie,170.9090909090909,11,1880.0
SOEDESCO,170.71428571428572,21,3585.0
CINEMAX GAMES,170.6,10,1706.0
Cotton Game,170.53846153846155,13,2217.0
Anate Studio,170.4,5,852.0
Doomster Entertainment,169.4,5,847.0
Steelkrill Studio,168.83333333333334,6,1013.0
STP WORKS,168.4,5,842.0
Ghostlight LTD,168.35714285714286,14,2357.0
No.25,168.125,8,1345.0
Hexage,168.0,5,840.0
Different Tales,167.0,5,835.0
Digital Crafter,166.5,8,1332.0
JoyBits Ltd.,164.85714285714286,14,2308.0
ZOV GAME STUDIO,162.2,5,811.0
Pinel Games,162.0,5,810.0
Windybeard,161.28571428571428,7,1129.0
Gaming Factory,161.0,10,1610.0
FreezeNova,159.88888888888889,18,2878.0
BattleGoat Studios,159.83333333333334,6,959.0
Paleno Games,159.66666666666666,6,958.0
Aksys Games,156.54545454545453,11,1722.0
Factus Games,156.0,5,780.0
0Cube,154.21428571428572,14,2159.0
OTAKU Plan,153.74074074074073,54,8302.0
Midnight Games,153.28571428571428,7,1073.0
Kairosoft Co.,152.78571428571428,42,6417.0
SA Industry,152.3956043956044,91,13868.0
Red Limb Studio,150.66666666666666,6,904.0
Soldak Entertainment,149.5,6,897.0
Big Fat Simulations Inc.,148.6,5,743.0
Out of the Park Developments,148.22222222222223,9,1334.0
Age of Fear,147.85714285714286,7,1035.0
First Break Labs,147.4,5,737.0
-,147.16666666666666,6,883.0
Vladimir Maslov,145.5,8,1164.0
SuperGG.com,144.6,5,723.0
Erotes Studio,144.0,5,720.0
Gagonfe,143.875,8,1151.0
REMIMORY,143.8,5,719.0
Natsume Inc.,143.0,8,1144.0
Excalibur Publishing,142.66666666666666,9,1284.0
Black Lime Studio,141.5,6,849.0
Another Indie,140.83333333333334,6,845.0
ISY,140.42857142857142,7,983.0
rokaplay,140.0,11,1540.0
Merlino Games,139.2,5,696.0
exosyphen studios,139.16666666666666,6,835.0
KEMCO,137.58490566037736,53,7292.0
KISS ltd,137.375,16,2198.0
Specialbit Studio,136.33333333333334,6,818.0
Hajime Doujin Circle,135.4,5,677.0
Indovers Studio,135.16666666666666,6,811.0
Chorus Worldwide Games,134.88235294117646,17,2293.0
Gigantum Games,134.2,5,671.0
G-DEVS.com,134.0,6,804.0
Phoenix_co,133.83333333333334,6,803.0
Reverb Triple XP,133.57142857142858,7,935.0
Kiddy,133.53333333333333,15,2003.0
CreativeForge Games,132.21428571428572,14,1851.0
Simon Eftestol,131.33333333333334,6,788.0
OnSkull Games,131.28571428571428,7,919.0
Funktronic Labs,129.6,5,648.0
Insane Dreamers,129.16666666666666,6,775.0
lamb of game,129.14285714285714,7,904.0
Brain Seal Ltd,127.85714285714286,7,895.0
Satur Entertainment,127.7,10,1277.0
Argent Games,127.5,8,1020.0
Neoclassic Games,127.16666666666667,6,763.0
HeR Interactive,127.05,20,2541.0
Skywalker HK,127.0,6,762.0
Firestoke,127.0,5,635.0
ebi-hime,126.63636363636364,33,4179.0
Kodansha,126.2,5,631.0
Napas Torteeka,126.0,5,630.0
Google Inc.,123.77777777777777,9,1114.0
Plug In Digital,123.73636363636363,110,13611.0
Studio Goya,123.5,10,1235.0
TyGAMES,121.77777777777777,9,1096.0
Eversim,121.66666666666667,6,730.0
Phoenixx Inc.,121.22222222222223,18,2182.0
Culture Select,121.16666666666667,6,727.0
Whale Rock Games,120.9090909090909,22,2660.0
Flat Cat Games,119.1,10,1191.0
Flyhigh Works,118.82142857142857,28,3327.0
Nova-box,117.4,5,587.0
ANPA.US,117.35,20,2347.0
Sheer Studios,117.2,5,586.0
USANIK STD,116.16666666666667,6,697.0
TIKIPOD,116.0,5,580.0
Waku Waku Games,115.3125,16,1845.0
Pugware,114.33333333333333,6,686.0
Teamey,112.84210526315789,19,2144.0
JustTomcuk,112.8,5,564.0
FeelThere,112.6,5,563.0
Zoo Corporation,112.5625,32,3602.0
FM Studio,111.8,5,559.0
Far Few Giants,111.16666666666667,6,667.0
New Reality Games,109.80952380952381,21,2306.0
upjers,109.61538461538461,13,1425.0
Crankage Games,108.8,5,544.0
Dejobaan Games,108.28571428571429,7,758.0
Cobra Mobile,108.28571428571429,7,758.0
Valorware,108.11111111111111,9,973.0
GameXP.com,107.6,5,538.0
Yai Gameworks,107.27272727272727,11,1180.0
Zeiva Inc,106.54545454545455,11,1172.0
Volens Nolens Games,105.9,50,5295.0
RedFox Games,105.8,5,529.0
Hound Picked Games,105.7,10,1057.0
Take Toad,104.0,5,520.0
Accelerate Games,104.0,15,1560.0
Ithaqua Labs,103.16666666666667,6,619.0
TenkaiGames,103.0,5,515.0
Zetsubou,103.0,8,824.0
Dogenzaka Lab,102.9375,16,1647.0
Dharker Studios,102.55555555555556,18,1846.0
Neko Entertainment,102.4,5,512.0
Way Down Deep,102.28571428571429,7,716.0
DigiPen Institute of Technology,102.10810810810811,37,3778.0
BottleCube inc.,101.6,5,508.0
Phat Phrog Studios,100.85714285714286,7,706.0
pixel games SARL-S,100.6,5,503.0
Electronic Sheep Games,100.5,10,1005.0
Wenkly Studio Sp. z o.o.,100.16666666666667,6,601.0
PsychoFlux Entertainment,100.13559322033899,59,5908.0
Fantasia Studio,100.0,5,500.0
Wholetone Games,99.46153846153847,13,1293.0
Airem,99.25,8,794.0
Starship Studio,99.0625,16,1585.0
LeonWaan Games,98.6,5,493.0
TrerPlay,98.4,5,492.0
Light of Creators,98.0625,16,1569.0
Lazrool,97.4,5,487.0
616 GAMES,96.58333333333333,12,1159.0
Rockin' Android,96.55555555555556,9,869.0
Anarchy Enterprises,96.0,6,576.0
Mens Sana Interactive,95.83333333333333,18,1725.0
NAISU,95.6,5,478.0
Fast Travel Games,94.27272727272727,11,1037.0
BrainGoodGames,94.16666666666667,6,565.0
Flying Interactive,93.92307692307692,13,1221.0
Nova's Army,93.33333333333333,6,560.0
Kikai Digital,93.28571428571429,7,653.0
Lock 'n Load Publishing,93.2,5,466.0
United Independent Entertainment,93.18181818181819,11,1025.0
AFBIK Studio,92.29411764705883,17,1569.0
Baltoro Games,91.6,5,458.0
Digital Eclipse,91.4,10,914.0
LUK KUS SOFT,91.0,6,546.0
SUNSOFT,89.0,7,623.0
Punx Studios,88.2,5,441.0
Appnori Inc.,87.66666666666667,6,526.0
Dieselmine,87.44444444444444,9,787.0
Outright Games Ltd.,86.66666666666667,45,3900.0
Kenny Sun,86.6,5,433.0
DDreams Games,86.2,5,431.0
Beshbarmak games,86.0,5,430.0
Sometimes You,85.51428571428572,35,2993.0
Acram Digital,85.5,8,684.0
GRAVITY,85.2,5,426.0
Matt Glanville,84.6,5,423.0
Narko Games,84.4,5,422.0
City Interactive S.A.,84.25,8,674.0
SHEN JIAWEI,84.16666666666667,6,505.0
NanningsGames,84.03225806451613,31,2605.0
Tin Man Games,83.93333333333334,15,1259.0
Unfinished Pixel,83.16666666666667,6,499.0
Boom Games,83.0,5,415.0
GTGD,82.33333333333333,6,494.0
Panda Indie Studio,82.0,6,492.0
Anvate Games,81.8,5,409.0
Peaksel,81.7,10,817.0
DLsite,81.4,20,1628.0
Vincent Lade,81.33333333333333,6,488.0
Jeremy Couillard,81.2,5,406.0
East2West Games,81.0,9,729.0
JanduSoft,80.0,34,2720.0
Sylph,79.4,5,397.0
Sokpop Collective,78.93827160493827,81,6394.0
Zojoi,78.66666666666667,9,708.0
IR Studio,78.375,8,627.0
RedKar Devs,78.16666666666667,6,469.0
Ghost_RUS Games,77.8125,32,2490.0
RunServer,77.52941176470588,17,1318.0
Yume Creations,77.16666666666667,6,463.0
Euphoria Games,76.28571428571429,7,534.0
Tonguç Bodur,76.28,25,1907.0
Sedoc LLC,76.25,8,610.0
Mommy's Best Games,75.5,6,453.0
Sinned Games,75.08333333333333,12,901.0
QUByte Interactive,74.77272727272727,22,1645.0
Schmidt Workshops,74.5,6,447.0
Invictus Games Ltd.,73.8,5,369.0
Dynamic Games,73.625,8,589.0
T-Time Technology CO.,73.61538461538461,13,957.0
Perverse Games,73.57142857142857,7,515.0
LLC.,72.9090909090909,22,1604.0
Blowfish Studios,72.73333333333333,15,1091.0
AppSir Games,72.6,5,363.0
David Pateti,72.6,5,363.0
GZ Storm,71.91666666666667,12,863.0
Bigosaur,71.83333333333333,6,431.0
KuKo,71.78787878787878,33,2369.0
Robert Alvarez,71.16666666666667,6,427.0
Gamera Interactive,71.05882352941177,17,1208.0
Axyos Games,70.83333333333333,6,425.0
Viva Media,70.11111111111111,18,1262.0
Giiku Games,69.66666666666667,6,418.0
T-Bull,69.4,5,347.0
Interplay Entertainment Corp.,69.12,25,1728.0
ondydev,69.0,5,345.0
russpuppy,67.66666666666667,12,812.0
Thedox Games,67.6,5,338.0
Vergiu,67.0,8,536.0
KIMIDORI SOFT,66.33333333333333,12,796.0
Amaterasu Software,66.25,12,795.0
CFK Co.,65.87096774193549,31,2042.0
Grey Alien Games,65.82926829268293,41,2699.0
3dm_live_wallpapers,65.76923076923077,13,855.0
Siberian Mouse,65.72727272727273,11,723.0
Flying Islands Team,65.42857142857143,7,458.0
Phr00t's Software,65.06666666666666,15,976.0
Thomas K. Young,64.85714285714286,7,454.0
GameHouse,64.69565217391305,46,2976.0
REVVALUTION Studio,64.5,6,387.0
Astrea,64.44444444444444,9,580.0
DIGIDICED,63.625,8,509.0
Funny Games,63.4,5,317.0
WRF Studios,63.25,8,506.0
Axis Games,62.875,8,503.0
No Gravity Games,62.8,15,942.0
橙光游戏,62.388888888888886,36,2246.0
Art Games Studio S.A.,62.25,8,498.0
ClickGames,62.2,5,311.0
James Earl Cox III,62.2,5,311.0
www.Spellbook.com,62.0,5,310.0
Ocean Media LLC,62.0,5,310.0
Cleverweek,61.0,5,305.0
Minimol Games,60.06896551724138,29,1742.0
Montee Games,60.0,5,300.0
Korvinrular,59.8,5,299.0
JingtuStudio,59.625,8,477.0
Minicactus Games,59.61538461538461,13,775.0
CyberStep,59.166666666666664,12,710.0
Xitilon,59.09090909090909,11,650.0
indie_games_studio,58.8,5,294.0
Wave Light Games Inc.,58.8,5,294.0
Meng Games,58.5,16,936.0
Cosmic Void,58.333333333333336,6,350.0
MyDreamForever,57.5,6,345.0
UniqueGames Publishing GmbH,57.4,5,287.0
Strategy First,57.333333333333336,84,4816.0
RainbowStudio,56.833333333333336,6,341.0
Sounding Stone / 老奉毊,56.714285714285715,7,397.0
Surprise Attack,56.5,6,339.0
TheGamePublisher.com,56.4,10,564.0
Ivanovich Games,56.0,13,728.0
PixelHeart,55.55555555555556,9,500.0
YAW Studios,55.416666666666664,12,665.0
Liquid Meow,55.4,5,277.0
Amonga99,55.0,5,275.0
Conglomerate 5,54.68032786885246,122,6671.0
FastGame,54.0,5,270.0
Daisy Games,53.666666666666664,9,483.0
Deceptive Games Ltd.,53.6,5,268.0
Co.,52.8,5,264.0
CodeManu,52.8,5,264.0
Hosted Games,52.71084337349398,83,4375.0
Sapphire Dragon Productions,52.61538461538461,13,684.0
Hunny Bunny Studio,52.607142857142854,28,1473.0
Corrosive Studios LLC,52.333333333333336,6,314.0
Crystal Game Works,52.285714285714285,7,366.0
Movavi Software,52.285714285714285,7,366.0
Rising Moon Games,51.72727272727273,11,569.0
MojoTouch,51.6,5,258.0
Cosmi Valusoft,51.27272727272727,11,564.0
Clique Games,50.45454545454545,11,555.0
AAD Productions,49.833333333333336,6,299.0
Snkl Studio,49.8,25,1245.0
Peach Rain,49.666666666666664,6,298.0
cdhy interactive,49.57142857142857,7,347.0
Naoka Games,49.44444444444444,9,445.0
Hanabi Games,49.27272727272727,11,542.0
ASK_GAMES,48.8,5,244.0
Choice of Games,48.75,136,6630.0
Spelkollektivet,48.714285714285715,7,341.0
HeroLabs,48.6,5,243.0
Adventure Islands,48.285714285714285,7,338.0
Aldorlea Games,48.22727272727273,44,2122.0
Saikey Studios,48.2,15,723.0
Ziggurat,47.808510638297875,94,4494.0
Pinhead Games,47.666666666666664,6,286.0
BadLand Publishing,47.57142857142857,7,333.0
Graverobber Foundation,47.44444444444444,9,427.0
Pleasant Rain Ltd,46.857142857142854,7,328.0
AMG GAMES,46.8,10,468.0
None,46.625,24,1119.0
Wild Rooster,46.6,5,233.0
RMAsia,46.535714285714285,28,1303.0
InArcade,46.5,6,279.0
Sunlight Games,46.2,5,231.0
Absolutist Ltd.,45.4,10,454.0
Self,45.166666666666664,6,271.0
Battenberg Software,45.0,5,225.0
DOSMan Games,45.0,5,225.0
